year,Officers,NCM,Total
1998,6.60%,5.70%,5.90%
1999,7.00%,6.70%,6.70%
2000,6.00%,6.70%,6.50%
2001,6.10%,7.10%,6.90%
2002,5.10%,6.20%,6.00%
2003,5.80%,6.50%,6.40%
2004,5.80%,6.20%,6.10%
2005,5.10%,7.10%,6.70%
2006,6.00%,7.10%,6.90%
2007,6.40%,8.90%,8.30%
2008,6.80%,9.80%,9.10%
2009,7.00%,9.70%,9.10%
2010,6.20%,8.00%,7.60%
2011,5.40%,7.00%,6.60%
2012,5.20%,6.30%,6.00%
2013,5.20%,7.00%,6.60%
2014,5.40%,7.60%,7.10%
2015,6.20%,8.40%,7.90%
2016,6.50%,7.20%,7.00%
2017,7.00%,8.30%,8.00%
2018,6.60%,7.60%,7.40%
2019,6.80%,8.40%,8.00%
2020,6.40%,8.40%,7.90%
