year,Masters_and_Above,Bachelors,College_CEGEP_Technical,High_School,Less_Than_High_School
1997,   86,  705, 2826,17609,22564
1998,  127,  905, 3318,22071,18674
1999,  100,  649, 2608,17000,13525
2000,   97,  621, 2698,16852,12679
2001,   94,  646, 2830,17026,12071
2002,   97,  664, 3511,18567,12945
2003,   95,  656, 4077,19689,13375
2004,   94,  652, 4389,19911,12794
2005,   90,  668, 4762,20140,12207
2006,   97,  680, 5212,21167,11961
2007,  100,  729, 5660,21697,11592
2008,  101,  723, 5841,21747,11198
2009,   99,  734, 6239,22436,10982
2010,  105,  799, 6608,23150,10826
2011,  107,  901, 6999,23372,10027
2012,  131, 1154, 8264,26613,10786
2013,  173, 1405, 9108,28010,10155
2014,  192, 1555, 9569,27931, 9302
2015,  202, 1695, 9750,27590, 8473
2016,  216, 1901,10156,28052, 7718
2017,  201, 1855, 9727,26775, 7024
2018,  117, 1034, 6688,19440, 6354
