year,Masters_and_Above,Bachelors,College_CEGEP_Technical,High_School,Less_Than_High_School
1997,1912,4104, 381, 843,4224
1998,1935,4326, 422, 867,3647
1999,1326,3274, 393, 843,2367
2000,1348,3405, 478, 879,2152
2001,1569,4378, 563, 996,2234
2002,1599,4677, 608,1092,1966
2003,1923,5611, 780,1281,1924
2004,1942,5929, 839,1334,1585
2005,1941,6371, 935,1442,1185
2006,1970,6906,1031,1571, 744
2007,2110,7284,1145,1529, 492
2008, 170, 413, 320, 397,1006
2009,2491,7717,1191,1409, 349
2010,2556,7994,1230,1434, 384
2011,2779,8131,1252,1421, 389
2012,2669,8014,1308,1525, 562
2013,3044,8438,1093,1303, 333
2014,3251,8480,1031,1221, 289
2015,3302,8513, 966,1110, 254
2016,3434,8428, 903,1129, 239
2017,3520,8429, 863,1064, 218
2018,2019,6844,1107,1745, 538
