year,Francophone_Officers,Francophone_NCM,Anglophone_Officers,Anglophone_NCM
1997, 3284,14007, 9993,34372
1998, 3270,13911, 9818,34069
1999, 3251,13483, 9769,33125
2000, 3269,13063, 9765,32252
2001, 3283,12760, 9777,31781
2002, 3358,13142,10002,32878
2003, 3404,13462,10385,33917
2004, 3412,13583,10652,33911
2005, 3439,13605,10852,33733
2006, 3527,13967,11031,34576
2007, 3654,14120,11359,35037
2008, 3734,14252,11641,35194
2009, 3674,14272,12025,35968
2010, 3707,14511,12441,37508
2011, 3769,14446,12590,37441
2012, 3795,14361,12587,37197
2013, 3789,14369,12591,37042
2014, 3778,14359,12543,36463
2015, 3717,14279,12439,35970
2016, 3697,14397,12391,36086
2017, 3704,14201,12529,35917
2018, 3854,14264,12816,36359
2019, 3892,14081,13202,36387
2020, 3939,13773,13422,36561
