year,Officers,NCM,Total
1997,13277,48379,61656
1998,13088,47980,61068
1999,13020,46608,59628
2000,13034,45315,58349
2001,13060,44541,57601
2002,13360,46020,59380
2003,13789,47379,61168
2004,14064,47494,61558
2005,14291,47338,61629
2006,14558,48543,63101
2007,15013,49157,64170
2008,15375,49446,64821
2009,15699,50240,65939
2010,16148,52019,68167
2011,16359,51887,68246
2012,16382,51558,67940
2013,16380,51412,67792
2014,16321,50823,67144
2015,16156,50249,66405
2016,16088,50483,66571
2017,16233,50118,66351
2018,16670,50623,67293
2019,17094,50468,67562
2020,17361,50334,67695
